{'completed': 1, 'total': 36, 'seed': 2026100301, 'preset': 'upright', 'variant': 'live', 'status': 'failed', 'mug_status': None, 'wall_seconds': 0.7547402000054717}
{'completed': 2, 'total': 36, 'seed': 2026100301, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': None, 'wall_seconds': 0.6952313999645412}
{'completed': 3, 'total': 36, 'seed': 2026100301, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 49.394873099867254}
{'completed': 4, 'total': 36, 'seed': 2026100301, 'preset': 'wide_left', 'variant': 'live', 'status': 'failed', 'mug_status': None, 'wall_seconds': 0.7072894996963441}
{'completed': 5, 'total': 36, 'seed': 2026100301, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': None, 'wall_seconds': 0.7027771999128163}
{'completed': 6, 'total': 36, 'seed': 2026100301, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 56.402668399736285}
{'completed': 7, 'total': 36, 'seed': 2026100302, 'preset': 'upright', 'variant': 'live', 'status': 'failed', 'mug_status': None, 'wall_seconds': 0.6983119999058545}
{'completed': 8, 'total': 36, 'seed': 2026100302, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': None, 'wall_seconds': 0.6947322003543377}
{'completed': 9, 'total': 36, 'seed': 2026100302, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 49.132800800260156}
{'completed': 10, 'total': 36, 'seed': 2026100302, 'preset': 'wide_left', 'variant': 'live', 'status': 'failed', 'mug_status': None, 'wall_seconds': 0.7062055002897978}
{'completed': 11, 'total': 36, 'seed': 2026100302, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': None, 'wall_seconds': 0.7132406998425722}
{'completed': 12, 'total': 36, 'seed': 2026100302, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 56.46899789990857}
{'completed': 13, 'total': 36, 'seed': 2026100303, 'preset': 'upright', 'variant': 'live', 'status': 'failed', 'mug_status': None, 'wall_seconds': 0.7296004998497665}
