{'completed': 1, 'total': 36, 'seed': 2026100501, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 37.90791600011289}
{'completed': 2, 'total': 36, 'seed': 2026100501, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 38.60223830025643}
{'completed': 3, 'total': 36, 'seed': 2026100501, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 15.819284199737012}
{'completed': 4, 'total': 36, 'seed': 2026100501, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 40.967880100011826}
{'completed': 5, 'total': 36, 'seed': 2026100501, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 41.56778659997508}
{'completed': 6, 'total': 36, 'seed': 2026100501, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 20.827244400046766}
{'completed': 7, 'total': 36, 'seed': 2026100502, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 35.65082920016721}
{'completed': 8, 'total': 36, 'seed': 2026100502, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 36.38489669980481}
{'completed': 9, 'total': 36, 'seed': 2026100502, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 15.057277800049633}
{'completed': 10, 'total': 36, 'seed': 2026100502, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 42.85023640003055}
{'completed': 11, 'total': 36, 'seed': 2026100502, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 43.554522699676454}
{'completed': 12, 'total': 36, 'seed': 2026100502, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 20.70877500018105}
{'completed': 13, 'total': 36, 'seed': 2026100503, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 37.19692460028455}
{'completed': 14, 'total': 36, 'seed': 2026100503, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 39.65354669978842}
{'completed': 15, 'total': 36, 'seed': 2026100503, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 17.152413399890065}
{'completed': 16, 'total': 36, 'seed': 2026100503, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 44.62095900019631}
{'completed': 17, 'total': 36, 'seed': 2026100503, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 44.79483689973131}
{'completed': 18, 'total': 36, 'seed': 2026100503, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 21.51276349974796}
{'completed': 19, 'total': 36, 'seed': 2026100504, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 38.07391759986058}
{'completed': 20, 'total': 36, 'seed': 2026100504, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 39.52169260010123}
{'completed': 21, 'total': 36, 'seed': 2026100504, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 16.91140739992261}
{'completed': 22, 'total': 36, 'seed': 2026100504, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 43.802324399817735}
{'completed': 23, 'total': 36, 'seed': 2026100504, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 44.51688770018518}
{'completed': 24, 'total': 36, 'seed': 2026100504, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 29.248720000032336}
{'completed': 25, 'total': 36, 'seed': 2026100505, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 42.835180799942464}
{'completed': 26, 'total': 36, 'seed': 2026100505, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 39.46121650002897}
{'completed': 27, 'total': 36, 'seed': 2026100505, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 26.915206500329077}
{'completed': 28, 'total': 36, 'seed': 2026100505, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 57.02038440015167}
{'completed': 29, 'total': 36, 'seed': 2026100505, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 57.32513519981876}
{'completed': 30, 'total': 36, 'seed': 2026100505, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 36.31378019973636}
{'completed': 31, 'total': 36, 'seed': 2026100506, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 47.31769840000197}
{'completed': 32, 'total': 36, 'seed': 2026100506, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 31.718066799920052}
{'completed': 33, 'total': 36, 'seed': 2026100506, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 49.42160330014303}
{'completed': 34, 'total': 36, 'seed': 2026100506, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 56.205530900042504}
{'completed': 35, 'total': 36, 'seed': 2026100506, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 56.69972789986059}
{'completed': 36, 'total': 36, 'seed': 2026100506, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 36.4741446999833}
