{'completed': 1, 'total': 60, 'seed': 2026100601, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 44.76047690026462}
{'completed': 2, 'total': 60, 'seed': 2026100601, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 45.82725550001487}
{'completed': 3, 'total': 60, 'seed': 2026100601, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 19.966194699984044}
{'completed': 4, 'total': 60, 'seed': 2026100601, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 54.770764199551195}
{'completed': 5, 'total': 60, 'seed': 2026100601, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 56.47664760006592}
{'completed': 6, 'total': 60, 'seed': 2026100601, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 27.792212599888444}
{'completed': 7, 'total': 60, 'seed': 2026100602, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 45.614309300202876}
{'completed': 8, 'total': 60, 'seed': 2026100602, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 44.80137960007414}
{'completed': 9, 'total': 60, 'seed': 2026100602, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 15.53465440031141}
{'completed': 10, 'total': 60, 'seed': 2026100602, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 44.48343740031123}
{'completed': 11, 'total': 60, 'seed': 2026100602, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 50.02978580025956}
{'completed': 12, 'total': 60, 'seed': 2026100602, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 28.030621400102973}
{'completed': 13, 'total': 60, 'seed': 2026100603, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 49.55140999983996}
{'completed': 14, 'total': 60, 'seed': 2026100603, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 50.66696139983833}
{'completed': 15, 'total': 60, 'seed': 2026100603, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 21.199894399847835}
{'completed': 16, 'total': 60, 'seed': 2026100603, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 57.111756099853665}
{'completed': 17, 'total': 60, 'seed': 2026100603, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 55.22077089967206}
{'completed': 18, 'total': 60, 'seed': 2026100603, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 22.23510259995237}
{'completed': 19, 'total': 60, 'seed': 2026100604, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 37.13742730021477}
{'completed': 20, 'total': 60, 'seed': 2026100604, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 44.2647146997042}
{'completed': 21, 'total': 60, 'seed': 2026100604, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 21.68114330014214}
{'completed': 22, 'total': 60, 'seed': 2026100604, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 49.66362140001729}
{'completed': 23, 'total': 60, 'seed': 2026100604, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 50.21008209977299}
{'completed': 24, 'total': 60, 'seed': 2026100604, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 21.49894280033186}
{'completed': 25, 'total': 60, 'seed': 2026100605, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 39.531017400324345}
{'completed': 26, 'total': 60, 'seed': 2026100605, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 21.557779599912465}
{'completed': 27, 'total': 60, 'seed': 2026100605, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 47.92780190007761}
{'completed': 28, 'total': 60, 'seed': 2026100605, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 58.05052619986236}
{'completed': 29, 'total': 60, 'seed': 2026100605, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 58.77247740002349}
{'completed': 30, 'total': 60, 'seed': 2026100605, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 28.818655900191516}
{'completed': 31, 'total': 60, 'seed': 2026100606, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 47.34032530011609}
{'completed': 32, 'total': 60, 'seed': 2026100606, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 42.939939300064}
{'completed': 33, 'total': 60, 'seed': 2026100606, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 16.88362259976566}
{'completed': 34, 'total': 60, 'seed': 2026100606, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 43.94035129994154}
{'completed': 35, 'total': 60, 'seed': 2026100606, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 44.665458200033754}
{'completed': 36, 'total': 60, 'seed': 2026100606, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 28.420703400392085}
{'completed': 37, 'total': 60, 'seed': 2026100607, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 49.01703580003232}
{'completed': 38, 'total': 60, 'seed': 2026100607, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 46.440509299747646}
{'completed': 39, 'total': 60, 'seed': 2026100607, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 28.398318599909544}
{'completed': 40, 'total': 60, 'seed': 2026100607, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 43.379921899642795}
{'completed': 41, 'total': 60, 'seed': 2026100607, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 44.14227839978412}
{'completed': 42, 'total': 60, 'seed': 2026100607, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 35.20928099984303}
{'completed': 43, 'total': 60, 'seed': 2026100608, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 46.89381500007585}
{'completed': 44, 'total': 60, 'seed': 2026100608, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 21.996732900384814}
{'completed': 45, 'total': 60, 'seed': 2026100608, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 51.47536869999021}
{'completed': 46, 'total': 60, 'seed': 2026100608, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 55.27056189998984}
{'completed': 47, 'total': 60, 'seed': 2026100608, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 56.329520899802446}
{'completed': 48, 'total': 60, 'seed': 2026100608, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 28.924013199750334}
{'completed': 49, 'total': 60, 'seed': 2026100609, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 47.44864910002798}
{'completed': 50, 'total': 60, 'seed': 2026100609, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 47.99359970027581}
{'completed': 51, 'total': 60, 'seed': 2026100609, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 21.12975550023839}
{'completed': 52, 'total': 60, 'seed': 2026100609, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 48.45802799984813}
{'completed': 53, 'total': 60, 'seed': 2026100609, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 48.15438500000164}
{'completed': 54, 'total': 60, 'seed': 2026100609, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 21.13966630026698}
{'completed': 55, 'total': 60, 'seed': 2026100610, 'preset': 'upright', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 36.71863850019872}
{'completed': 56, 'total': 60, 'seed': 2026100610, 'preset': 'upright', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 16.05909170024097}
{'completed': 57, 'total': 60, 'seed': 2026100610, 'preset': 'upright', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 37.663974000141025}
{'completed': 58, 'total': 60, 'seed': 2026100610, 'preset': 'wide_left', 'variant': 'baseline', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 45.78599360026419}
{'completed': 59, 'total': 60, 'seed': 2026100610, 'preset': 'wide_left', 'variant': 'live', 'status': 'succeeded', 'mug_status': 'succeeded', 'wall_seconds': 47.14834820013493}
{'completed': 60, 'total': 60, 'seed': 2026100610, 'preset': 'wide_left', 'variant': 'frozen', 'status': 'failed', 'mug_status': 'failed', 'wall_seconds': 28.54542370000854}
